StationNumber,HourOfDay,Avg_Free_Bici,Avg_Free_Stand
4,1,0.9205128205128205,22.164957264957266
4,2,0.7841601392515231,22.31070496083551
4,3,0.6718885987815492,22.4177545691906
4,4,0.5232067510548524,22.640646976090014
4,5,0.6690140845070423,22.41725352112676
4,6,0.7275155832591274,22.399821905609972
4,7,1.710642040457344,21.395778364116094
4,8,5.826923076923077,17.298076923076923
4,9,8.809166666666666,14.266666666666667
4,10,9.50943396226415,13.614065180102916
4,11,12.469176665287547,11.09102192800993
4,12,10.149619611158073,12.95266272189349
4,13,8.128015564202334,14.42762645914397
4,14,6.529857022708158,16.564339781328847
4,15,3.3505067567567566,19.756756756756758
4,16,2.9355108877721943,20.161641541038527
4,17,2.1109904793719725,22.701436445632204
4,18,3.5122918318794607,19.460745440126882
4,19,4.182232346241458,18.99468488990129
4,20,5.281964436917867,17.781541066892466
4,21,6.058918482647297,17.02905569007264
4,22,6.411714770797962,16.64006791171477
4,23,4.18566493955095,18.875647668393782
5,0,4.035073409461664,10.83115823817292
5,1,3.218803418803419,11.638461538461538
5,2,2.873803307223673,11.982593559617058
5,3,2.681462140992167,12.187119234116624
5,4,2.442334739803094,12.447960618846695
5,5,2.8089788732394365,12.05193661971831
5,6,2.798753339269813,12.065004452359751
5,7,3.077396657871592,11.769569041336851
5,8,4.869755244755245,10.009615384615385
5,9,5.700833333333334,9.160833333333333
5,10,5.690394511149228,9.181818181818182
5,11,4.722383119569715,10.212246586677699
5,12,5.22654268808115,9.624683009298394
5,13,3.4801556420233464,11.457976653696498
5,14,4.739276703111859,10.139613120269134
5,15,4.214527027027027,10.65793918918919
5,16,4.055276381909548,10.809045226130653
5,17,0.40846834808752297,14.577250709871388
5,18,4.5828707375099125,10.222839016653449
5,19,4.0121488230827635,10.853454821564162
5,20,4.465707027942422,10.393734123624048
5,21,4.613397901533495,10.255851493139629
5,22,4.83786078098472,10.02037351443124
5,23,4.374784110535406,10.474956822107082
6,0,5.6876019575856445,9.239804241435563
6,1,5.942735042735043,8.982905982905983
6,2,5.72845953002611,9.1940818102698
6,3,5.566579634464752,9.356832027850304
6,4,5.1736990154711675,9.765119549929677
6,5,5.499119718309859,9.424295774647888
6,6,5.414959928762244,9.504007123775601
6,7,5.011433597185576,9.90061565523307
6,8,5.116258741258742,9.795454545454545
6,9,5.0725,9.834166666666667
6,10,4.697255574614065,10.203259005145798
6,11,4.198179561439801,10.753827058336782
6,12,4.160608622147084,10.734573119188504
6,13,1.9988326848249027,12.956420233463035
6,14,4.009251471825063,10.894869638351556
6,15,3.6570945945945947,11.241554054054054
6,16,3.8500837520938025,11.061139028475711
6,17,0.41414731919158176,14.577417738433272
6,18,4.640761300555115,10.27359238699445
6,19,4.010630220197418,10.916476841305998
6,20,4.228619813717189,10.69602032176122
6,21,4.545601291364004,10.380952380952381
6,22,4.9363327674023765,9.988964346349745
6,23,5.346286701208981,9.575129533678757
7,0,3.4543230016313213,14.752039151712887
7,1,2.6076923076923078,15.605128205128205
7,2,2.1305483028720626,16.08703220191471
7,3,1.7763272410791993,16.43864229765013
7,4,1.360759493670886,16.747538677918424
7,5,1.517605633802817,16.720070422535212
7,6,1.7586821015138023,16.463045414069455
7,7,1.970976253298153,16.248900615655234
7,8,1.5795454545454546,16.638111888111887
7,9,2.6616666666666666,15.541666666666666
7,10,3.183533447684391,14.976843910806174
7,11,6.53206454282168,12.086057095573024
7,12,4.585798816568047,13.622147083685546
7,13,11.63579766536965,6.456031128404669
7,14,4.234650967199327,13.961312026913372
7,15,3.3614864864864864,14.86233108108108
7,16,3.1700167504187604,15.06281407035176
7,17,0.2908802405211291,18.633873392350093
7,18,3.0999206978588423,15.1847739888977
7,19,3.679574791192103,14.63705391040243
7,20,4.258255715495343,13.972057578323454
7,21,4.879741727199354,13.330104923325262
7,22,5.848896434634974,12.370967741935484
7,23,5.0595854922279795,13.14853195164076
8,0,0.6594454072790294,7.913344887348353
8,1,0.424408014571949,8.124772313296903
8,2,0.41968430826369546,8.1355617455896
8,3,0.43546889507892295,8.11142061281337
8,4,0.7031828275351591,7.93560325684678
8,5,0.6109022556390977,7.924812030075188
8,6,0.7927756653992395,7.744296577946768
8,7,1.8716026241799437,6.688847235238987
8,8,3.4981412639405205,5.08364312267658
8,9,4.129089301503095,4.379310344827586
8,10,4.469835466179159,4.06672760511883
8,11,6.960767590618337,1.8187633262260128
8,12,4.557155715571557,3.983798379837984
8,13,6.239791833466773,2.5592473979183348
8,14,2.962399283795882,5.5819158460161145
8,15,1.83363309352518,6.713129496402877
8,16,1.749554367201426,6.795900178253119
8,17,2.225339366515837,6.313122171945701
8,18,2.7476948868398994,5.815590947191953
8,19,3.031224979983987,5.550840672538031
8,20,3.930817610062893,4.606469002695418
8,21,3.4927412467976087,5.066609735269001
8,22,2.8234234234234235,5.715315315315316
8,23,1.4808043875685557,7.059414990859232
9,0,4.721859706362153,19.889070146818923
9,1,3.9846153846153847,20.61709401709402
9,2,3.5900783289817233,21.006962576153178
9,3,3.4560487380330724,21.14012184508268
9,4,2.869901547116737,21.71589310829817
9,5,3.527288732394366,21.065140845070424
