,Number,Direction,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
67,68,Av. Puerto - José Aguilar,1,20,0,20,0,2025-04-30 23:50:05,39.46280327868023,-0.3417332778594022,2025-05-01 00:00:25
68,69,Av. Puerto - Serrería,1,24,1,25,0,2025-04-30 23:50:05,39.46195227384504,-0.3387212679875118,2025-05-01 00:00:25
69,70,"Colón, 44",1,1,16,17,0,2025-04-30 23:50:05,39.469213221319464,-0.3716462894107889,2025-05-01 00:00:25
70,71,Av. Puerto - Plaza Tribunal de les Aigües,1,20,0,20,0,2025-04-30 23:50:05,39.46038026686525,-0.3335312512230816,2025-05-01 00:00:25
71,72,Ramiro de Maeztu - Peris Brell,1,14,1,15,0,2025-04-30 23:50:05,39.4672572011624,-0.3464462819621424,2025-05-01 00:00:25
72,73,Jerónimo Monsoriu - Industria,1,20,0,20,0,2025-04-30 23:50:05,39.4662592905475,-0.3428792786496773,2025-05-01 00:00:25
73,74,Plaza San Felipe Neri (Mercado Algirós),1,19,1,20,0,2025-04-30 23:50:05,39.469949307546806,-0.3537343124957471,2025-05-01 00:00:25
74,75,República Argentina - Campoamor,1,23,2,25,0,2025-04-30 23:50:05,39.472113313853896,-0.3517013042029511,2025-05-01 00:00:25
75,76,Campoamor - Músico Ginés,1,19,0,19,0,2025-04-30 23:50:05,39.47008330347364,-0.343461277578989,2025-05-01 00:00:25
76,77,Molinell - Calderón de la Barca,1,12,8,20,0,2025-04-30 23:50:05,39.48497336307338,-0.3656673419583549,2025-05-01 00:00:25
77,78,Aragón - Vicente Sancho Tello,1,3,17,20,0,2025-04-30 23:50:05,39.46994531050937,-0.358688329939162,2025-05-01 00:00:25
78,79,Aragón - Ernesto Ferrer,1,2,18,20,0,2025-04-30 23:50:05,39.4727793187067,-0.357242322435451,2025-05-01 00:00:25
79,80,Amadeo de Saboya (frente Ayuntamiento),1,1,24,25,0,2025-04-30 23:50:05,39.47374232444908,-0.3622983394473602,2025-05-01 00:00:25
80,81,Micer Mascó - Rodriguez Fornos,1,0,20,20,0,2025-04-30 23:50:05,39.47512832851177,-0.3609783335465967,2025-05-01 00:00:25
81,82,Guillem de Castro (Torres de Quart),1,3,11,15,0,2025-04-30 23:50:05,39.47605634238628,-0.3839144104057024,2025-05-01 00:00:25
82,83,General Elio - Llano del Real,1,0,24,25,0,2025-04-30 23:50:05,39.47758533929587,-0.3669703519914759,2025-05-01 00:00:25
