Direction,Number,Active,Free_bici,Free_stand,Total_stands,Ticket,Update_date,Latitude,Longitude,Folder_datetime
Angel Guimerá - Juan Llorens,22,1,4,11,15,0,2025-04-30 23:19:46,39.46978732404922,-0.3883534313205414,2025-04-30 23:30:06
Fernando el Católico - Erudito Orellana,23,1,2,17,19,0,2025-04-30 23:50:05,39.471628328748515,-0.3861784216967592,2025-05-01 00:00:25
Fernando el Católico - Erudito Orellana,23,1,3,16,19,0,2025-04-30 23:39:59,39.471628328748515,-0.3861784216967592,2025-04-30 23:45:04
Fernando el Católico - Erudito Orellana,23,1,4,15,19,0,2025-04-30 23:19:46,39.471628328748515,-0.3861784216967592,2025-04-30 23:30:06
Fernando el Católico - Cuenca,24,1,4,15,20,0,2025-04-30 23:50:05,39.469077319212495,-0.3840274173384119,2025-05-01 00:00:25
Fernando el Católico - Cuenca,24,1,4,15,20,0,2025-04-30 23:39:59,39.469077319212495,-0.3840274173384119,2025-04-30 23:45:04
Fernando el Católico - Cuenca,24,1,6,13,20,0,2025-04-30 23:19:46,39.469077319212495,-0.3840274173384119,2025-04-30 23:30:06
"Alberique, 18 (Abastos)",25,1,2,21,23,0,2025-04-30 23:50:05,39.46772931656263,-0.3886104333408022,2025-05-01 00:00:25
"Alberique, 18 (Abastos)",25,1,2,21,23,0,2025-04-30 23:39:59,39.46772931656263,-0.3886104333408022,2025-04-30 23:45:04
"Alberique, 18 (Abastos)",25,1,2,21,23,0,2025-04-30 23:19:46,39.46772931656263,-0.3886104333408022,2025-04-30 23:30:06
San José de Calasanz - Salas Quiroga,26,1,1,14,15,0,2025-04-30 23:50:05,39.46633523268935,-0.3858642993911739,2025-05-01 00:00:25
San José de Calasanz - Salas Quiroga,26,1,1,14,15,0,2025-04-30 23:39:59,39.46633523268935,-0.3858642993911739,2025-04-30 23:45:04
San José de Calasanz - Salas Quiroga,26,1,2,13,15,0,2025-04-30 23:19:46,39.46633523268935,-0.3858642993911739,2025-04-30 23:30:06
San Vicente Martir - Doctor Vilá Barberá,27,1,18,2,20,0,2025-04-30 23:50:05,39.463362299305594,-0.3818514137102655,2025-05-01 00:00:25
San Vicente Martir - Doctor Vilá Barberá,27,1,17,3,20,0,2025-04-30 23:39:59,39.463362299305594,-0.3818514137102655,2025-04-30 23:45:04
San Vicente Martir - Doctor Vilá Barberá,27,1,17,3,20,0,2025-04-30 23:19:46,39.463362299305594,-0.3818514137102655,2025-04-30 23:30:06
Navarro Reverter - Grabador Esteve,28,1,19,8,29,0,2025-04-30 23:50:05,39.47158231958138,-0.3677513588006829,2025-05-01 00:00:25
Navarro Reverter - Grabador Esteve,28,1,19,8,29,0,2025-04-30 23:39:59,39.47158231958138,-0.3677513588006829,2025-04-30 23:45:04
Navarro Reverter - Grabador Esteve,28,1,21,6,29,0,2025-04-30 23:19:46,39.47158231958138,-0.3677513588006829,2025-04-30 23:30:06
Plaza América - Cirilo Amorós - Sorní,29,1,16,4,20,0,2025-04-30 23:50:05,39.47011231364647,-0.3652993525279599,2025-05-01 00:00:25
Plaza América - Cirilo Amorós - Sorní,29,1,16,4,20,0,2025-04-30 23:39:59,39.47011231364647,-0.3652993525279599,2025-04-30 23:45:04
Plaza América - Cirilo Amorós - Sorní,29,1,16,4,20,0,2025-04-30 23:19:46,39.47011231364647,-0.3652993525279599,2025-04-30 23:30:06
Cirilo Amorós - Jorge Juan (Mercado Colón),30,1,8,11,20,0,2025-04-30 23:50:05,39.46860130988493,-0.3684993636557958,2025-05-01 00:00:25
Cirilo Amorós - Jorge Juan (Mercado Colón),30,1,8,11,20,0,2025-04-30 23:39:59,39.46860130988493,-0.3684993636557958,2025-04-30 23:45:04
Cirilo Amorós - Jorge Juan (Mercado Colón),30,1,8,11,20,0,2025-04-30 23:19:46,39.46860130988493,-0.3684993636557958,2025-04-30 23:30:06
Salamanca - Conde Altea,31,1,12,6,19,0,2025-04-30 23:50:05,39.467365304622646,-0.3650283531086902,2025-05-01 00:00:25
Salamanca - Conde Altea,31,1,12,6,19,0,2025-04-30 23:39:59,39.467365304622646,-0.3650283531086902,2025-04-30 23:45:04
Salamanca - Conde Altea,31,1,14,4,19,0,2025-04-30 23:19:46,39.467365304622646,-0.3650283531086902,2025-04-30 23:30:06
Conde Altea - Almirante Cadarso,32,1,8,12,20,0,2025-04-30 23:50:05,39.46600630156446,-0.3682473649948816,2025-05-01 00:00:25
Conde Altea - Almirante Cadarso,32,1,9,11,20,0,2025-04-30 23:39:59,39.46600630156446,-0.3682473649948816,2025-04-30 23:45:04
Conde Altea - Almirante Cadarso,32,1,9,11,20,0,2025-04-30 23:19:46,39.46600630156446,-0.3682473649948816,2025-04-30 23:30:06
Germanías - Ruzafa,33,1,5,14,20,0,2025-04-30 23:50:05,39.46481830023885,-0.3739903856231028,2025-05-01 00:00:25
Germanías - Ruzafa,33,1,7,12,20,0,2025-04-30 23:39:59,39.46481830023885,-0.3739903856231028,2025-04-30 23:45:04
Germanías - Ruzafa,33,1,13,6,20,0,2025-04-30 23:19:46,39.46481830023885,-0.3739903856231028,2025-04-30 23:30:06
Regne de Valencia - Doctor Sumsi,34,1,15,2,17,0,2025-04-30 23:50:05,39.46412229654908,-0.3699613729909211,2025-05-01 00:00:25
Regne de Valencia - Doctor Sumsi,34,1,15,2,17,0,2025-04-30 23:39:59,39.46412229654908,-0.3699613729909211,2025-04-30 23:45:04
Regne de Valencia - Doctor Sumsi,34,1,15,2,17,0,2025-04-30 23:19:46,39.46412229654908,-0.3699613729909211,2025-04-30 23:30:06
Regne de Valencia - Almirante Cadarso,35,1,3,10,20,0,2025-04-30 23:50:05,39.46374929341137,-0.3669943634005945,2025-05-01 00:00:25
Regne de Valencia - Almirante Cadarso,35,1,3,10,20,0,2025-04-30 23:39:59,39.46374929341137,-0.3669943634005945,2025-04-30 23:45:04
Regne de Valencia - Almirante Cadarso,35,1,6,7,20,0,2025-04-30 23:19:46,39.46374929341137,-0.3669943634005945,2025-04-30 23:30:06
Plaza de los Fueros - Conde Trenor,36,1,1,23,25,0,2025-04-30 23:50:05,39.479072348860946,-0.3754363798581042,2025-05-01 00:00:25
Plaza de los Fueros - Conde Trenor,36,1,1,23,25,0,2025-04-30 23:39:59,39.479072348860946,-0.3754363798581042,2025-04-30 23:45:04
Plaza de los Fueros - Conde Trenor,36,1,3,21,25,0,2025-04-30 23:19:46,39.479072348860946,-0.3754363798581042,2025-04-30 23:30:06
Peris y Valero - Luis Santángel,37,1,13,7,20,0,2025-04-30 23:50:05,39.460937800028375,-0.3664406250017559,2025-05-01 00:00:25
Peris y Valero - Luis Santángel,37,1,13,7,20,0,2025-04-30 23:39:59,39.460937800028375,-0.3664406250017559,2025-04-30 23:45:04
Peris y Valero - Luis Santángel,37,1,13,7,20,0,2025-04-30 23:19:46,39.460937800028375,-0.3664406250017559,2025-04-30 23:30:06
Peris y Valero - Cabo Jubi,38,1,7,8,15,0,2025-04-30 23:50:05,39.45940204927687,-0.3702493773693626,2025-05-01 00:00:25
Peris y Valero - Cabo Jubi,38,1,8,7,15,0,2025-04-30 23:39:59,39.45940204927687,-0.3702493773693626,2025-04-30 23:45:04
Peris y Valero - Cabo Jubi,38,1,11,4,15,0,2025-04-30 23:19:46,39.45940204927687,-0.3702493773693626,2025-04-30 23:30:06
Peris y Valero - Cuba,39,1,15,3,19,0,2025-04-30 23:50:05,39.457854277261184,-0.3739313916673185,2025-05-01 00:00:25
Peris y Valero - Cuba,39,1,15,3,19,0,2025-04-30 23:39:59,39.457854277261184,-0.3739313916673185,2025-04-30 23:45:04
Peris y Valero - Cuba,39,1,15,3,19,0,2025-04-30 23:19:46,39.457854277261184,-0.3739313916673185,2025-04-30 23:30:06
"Barcas, 11",40,1,3,23,26,0,2025-04-30 23:50:05,39.47046631970195,-0.3748243837183276,2025-05-01 00:00:25
"Barcas, 11",40,1,4,22,26,0,2025-04-30 23:39:59,39.47046631970195,-0.3748243837183276,2025-04-30 23:45:04
"Barcas, 11",40,1,3,23,26,0,2025-04-30 23:19:46,39.47046631970195,-0.3748243837183276,2025-04-30 23:30:06
General Urrutia - Granada,41,1,18,2,20,0,2025-04-30 23:50:05,39.458912276426375,-0.3647763590897919,2025-05-01 00:00:25
General Urrutia - Granada,41,1,18,2,20,0,2025-04-30 23:39:59,39.458912276426375,-0.3647763590897919,2025-04-30 23:45:04
General Urrutia - Granada,41,1,18,2,20,0,2025-04-30 23:19:46,39.458912276426375,-0.3647763590897919,2025-04-30 23:30:06
Av. de la Plata (Museo Fallero),42,1,17,3,20,0,2025-04-30 23:50:05,39.45878127329601,-0.3586583378805894,2025-05-01 00:00:25
Av. de la Plata (Museo Fallero),42,1,16,4,20,0,2025-04-30 23:39:59,39.45878127329601,-0.3586583378805894,2025-04-30 23:45:04
Av. de la Plata (Museo Fallero),42,1,16,4,20,0,2025-04-30 23:19:46,39.45878127329601,-0.3586583378805894,2025-04-30 23:30:06
Escultor José Capuz - Oriente,43,1,19,0,20,0,2025-04-30 23:50:05,39.459477276259406,-0.3611533458364356,2025-05-01 00:00:25
Escultor José Capuz - Oriente,43,1,18,1,20,0,2025-04-30 23:39:59,39.459477276259406,-0.3611533458364356,2025-04-30 23:45:04
Escultor José Capuz - Oriente,43,1,16,3,20,0,2025-04-30 23:19:46,39.459477276259406,-0.3611533458364356,2025-04-30 23:30:06
General Urrutia - Av. de la Plata,44,1,2,17,19,0,2025-04-30 23:50:05,39.45642926768604,-0.3630143545257616,2025-05-01 00:00:25
General Urrutia - Av. de la Plata,44,1,3,16,19,0,2025-04-30 23:39:59,39.45642926768604,-0.3630143545257616,2025-04-30 23:45:04
General Urrutia - Av. de la Plata,44,1,2,17,19,0,2025-04-30 23:19:46,39.45642926768604,-0.3630143545257616,2025-04-30 23:30:06
