StationNumber,Weekday,HourOfDay,Avg_Free_Bici,Avg_Free_Stand
2,Tuesday,4,3.4571428571428573,11.497142857142856
2,Tuesday,5,3.065934065934066,11.884615384615385
2,Tuesday,6,2.9661016949152543,11.994350282485875
2,Tuesday,7,2.715909090909091,12.232954545454545
2,Tuesday,8,2.4261363636363638,12.517045454545455
2,Tuesday,9,2.7386363636363638,12.215909090909092
2,Tuesday,10,2.8870056497175143,12.067796610169491
2,Tuesday,11,3.5,11.433333333333334
2,Tuesday,12,3.7514450867052025,11.179190751445086
2,Tuesday,13,3.0260416666666665,11.911458333333334
2,Tuesday,14,2.937853107344633,11.977401129943503
2,Tuesday,15,2.0977011494252875,12.804597701149426
2,Tuesday,16,2.1761363636363638,12.732954545454545
2,Tuesday,17,5.955891734256812,9.042650141255809
2,Tuesday,18,4.2727272727272725,10.636363636363637
2,Tuesday,19,4.470238095238095,10.416666666666666
2,Tuesday,20,4.786127167630058,10.121387283236995
2,Tuesday,21,4.263392857142857,10.683035714285714
2,Tuesday,22,4.952662721893491,9.964497041420119
2,Tuesday,23,4.723529411764706,10.188235294117646
2,Wednesday,0,3.903030303030303,11.006060606060606
2,Wednesday,1,3.6790123456790123,11.234567901234568
2,Wednesday,2,3.6158536585365852,11.286585365853659
2,Wednesday,3,3.3597560975609757,11.542682926829269
2,Wednesday,4,2.896551724137931,12.011494252873563
2,Wednesday,5,2.8588957055214723,12.042944785276074
2,Wednesday,6,2.859872611464968,12.038216560509554
2,Wednesday,7,2.8260869565217392,12.08695652173913
2,Wednesday,8,3.2839506172839505,11.635802469135802
2,Wednesday,9,4.064356435643564,10.871287128712872
2,Wednesday,10,4.226993865030675,10.693251533742332
2,Wednesday,11,3.9216867469879517,11.024096385542169
2,Wednesday,12,4.093023255813954,10.86046511627907
2,Wednesday,13,1.3950534759358288,13.599598930481283
2,Wednesday,14,4.242424242424242,10.709090909090909
2,Wednesday,15,3.3532934131736525,11.598802395209582
2,Wednesday,16,3.838323353293413,11.113772455089821
2,Wednesday,17,4.2974683544303796,10.645569620253164
2,Wednesday,18,4.991304347826087,9.930434782608696
2,Wednesday,19,5.0,9.875
2,Wednesday,20,5.0625,9.83125
2,Wednesday,21,5.440993788819876,9.459627329192546
2,Wednesday,22,5.298780487804878,9.603658536585366
2,Wednesday,23,5.227848101265823,9.670886075949367
2,Thursday,0,4.422360248447205,10.478260869565217
2,Thursday,1,4.433962264150943,10.465408805031446
2,Thursday,2,4.20625,10.69375
2,Thursday,3,3.81875,11.08125
2,Thursday,4,3.5875,11.3125
2,Thursday,5,3.3125,11.5875
2,Thursday,6,3.050314465408805,11.849056603773585
2,Thursday,7,2.9685534591194966,11.930817610062894
2,Thursday,8,3.2160493827160495,11.734567901234568
2,Thursday,9,3.0963855421686746,11.873493975903614
2,Thursday,10,3.694610778443114,11.275449101796408
2,Thursday,11,4.896039603960396,10.0997171145686
2,Thursday,12,4.4772727272727275,10.5
2,Thursday,13,4.173708920187793,10.807511737089202
2,Thursday,14,3.6686046511627906,11.30813953488372
2,Thursday,15,2.5680473372781063,12.402366863905325
2,Thursday,16,2.9828571428571427,11.971428571428572
2,Thursday,17,4.382352941176471,10.51764705882353
2,Thursday,18,5.069767441860465,9.837209302325581
2,Thursday,19,6.239766081871345,8.68421052631579
2,Thursday,20,6.337209302325581,8.540697674418604
2,Thursday,21,5.604651162790698,9.279069767441861
2,Thursday,22,5.42603550295858,9.455621301775148
2,Thursday,23,5.0058823529411764,9.888235294117647
2,Friday,0,4.575581395348837,10.319767441860465
2,Friday,1,4.273255813953488,10.656976744186046
2,Friday,2,3.7209302325581395,11.209302325581396
2,Friday,3,3.2865497076023393,11.666666666666666
2,Friday,4,2.635514018691589,12.327102803738319
2,Friday,5,3.05625,11.89375
2,Friday,6,2.8238993710691824,12.125786163522013
2,Friday,7,2.652173913043478,12.29192546583851
2,Friday,8,3.591463414634146,11.378048780487806
2,Friday,9,3.532544378698225,11.467455621301776
2,Friday,10,3.7251461988304095,11.274853801169591
2,Friday,11,3.947058823529412,11.047058823529412
2,Friday,12,4.3882352941176475,10.611764705882353
2,Friday,13,3.473684210526316,11.526315789473685
2,Friday,14,3.313953488372093,11.668604651162791
2,Friday,15,3.813953488372093,11.162790697674419
2,Friday,16,3.8728323699421967,11.104046242774567
2,Friday,17,3.8705882352941177,11.1
2,Friday,18,3.738372093023256,11.209302325581396
2,Friday,19,5.127906976744186,9.790697674418604
2,Friday,20,5.994186046511628,8.953488372093023
2,Friday,21,6.959302325581396,7.994186046511628
2,Friday,22,7.040697674418604,7.941860465116279
2,Friday,23,7.269461077844311,7.730538922155689
2,Saturday,0,5.196261682242991,9.80373831775701
2,Saturday,1,5.7125,9.2875
2,Saturday,2,4.1572327044025155,10.842767295597485
2,Saturday,3,3.2767295597484276,11.723270440251572
2,Saturday,4,3.1739130434782608,11.826086956521738
2,Saturday,5,3.3641975308641974,11.635802469135802
2,Saturday,6,3.0955414012738856,11.904458598726114
2,Saturday,7,3.03125,11.96875
2,Saturday,8,2.2375,12.7625
2,Saturday,9,3.3375,11.6625
2,Saturday,10,2.51875,12.48125
2,Saturday,11,2.5875,12.40625
2,Saturday,12,3.63125,11.34375
2,Saturday,13,4.617283950617284,10.358024691358025
2,Saturday,14,4.25,10.737804878048781
2,Saturday,15,4.233128834355829,10.754601226993865
2,Saturday,16,4.0,11.0
2,Saturday,17,4.121951219512195,10.865853658536585
2,Saturday,18,5.5060975609756095,9.49390243902439
2,Saturday,19,7.341463414634147,7.652439024390244
2,Saturday,20,8.225609756097562,6.774390243902439
2,Saturday,21,8.042682926829269,6.9573170731707314
2,Saturday,22,8.218181818181819,6.781818181818182
2,Saturday,23,8.0828025477707,6.917197452229299
2,Sunday,0,7.421052631578948,7.578947368421052
2,Sunday,1,5.9186046511627906,9.081395348837209
2,Sunday,2,4.72,10.273333333333333
2,Sunday,3,3.3896103896103895,11.61038961038961
2,Sunday,4,3.1346153846153846,11.865384615384615
2,Sunday,5,2.496551724137931,12.50344827586207
2,Sunday,6,2.576158940397351,12.42384105960265
2,Sunday,7,2.7467532467532467,12.253246753246753
2,Sunday,8,2.3766233766233764,12.623376623376624
2,Sunday,9,2.069182389937107,12.930817610062894
2,Sunday,10,2.0062111801242235,12.993788819875776
2,Sunday,11,2.63125,12.36875
2,Sunday,12,3.0783132530120483,11.921686746987952
2,Sunday,13,4.171597633136095,10.828402366863905
2,Sunday,14,4.47953216374269,10.52046783625731
2,Sunday,15,4.482558139534884,10.517441860465116
2,Sunday,16,4.796511627906977,10.186046511627907
2,Sunday,17,5.5058823529411764,9.470588235294118
2,Sunday,18,7.017543859649122,7.970760233918129
2,Sunday,19,6.994082840236686,8.005917159763314
2,Sunday,20,7.136094674556213,7.840236686390533
2,Sunday,21,7.369942196531792,7.595375722543353
2,Sunday,22,6.8604651162790695,8.093023255813954
2,Sunday,23,6.893491124260355,8.053254437869823
3,Monday,0,3.723926380368098,16.141104294478527
3,Monday,1,2.8109756097560976,17.024390243902438
3,Monday,2,2.402439024390244,17.451219512195124
3,Monday,3,1.829268292682927,18.024390243902438
3,Monday,4,1.9425287356321839,17.919540229885058
3,Monday,5,1.3414634146341464,18.51219512195122
3,Monday,6,1.5153374233128833,18.337423312883434
3,Monday,7,2.536144578313253,17.343373493975903
3,Monday,8,1.6987951807228916,18.186746987951807
3,Monday,9,4.6726190476190474,15.208333333333334
3,Monday,10,3.9161676646706587,15.964071856287426
3,Monday,11,3.8622754491017965,16.02994011976048
3,Monday,12,3.5843373493975905,16.283132530120483
3,Monday,13,2.8682634730538923,17.017964071856287
3,Monday,14,3.5,16.363095238095237
3,Monday,15,3.377245508982036,16.50299401197605
3,Monday,16,2.4702380952380953,17.392857142857142
3,Monday,17,2.7455621301775146,17.130177514792898
3,Monday,18,2.664772727272727,17.210227272727273
3,Monday,19,5.859424920127796,13.62300319488818
3,Monday,20,2.175438596491228,17.68421052631579
3,Monday,21,2.820809248554913,17.057803468208093
3,Monday,22,4.586826347305389,15.311377245508982
3,Monday,23,6.227544910179641,13.67065868263473
3,Tuesday,0,4.777777777777778,15.11111111111111
3,Tuesday,1,3.861878453038674,16.027624309392266
3,Tuesday,2,3.1055555555555556,16.783333333333335
3,Tuesday,3,2.7062146892655368,17.180790960451976
3,Tuesday,4,2.4114285714285715,17.474285714285713
3,Tuesday,5,2.32967032967033,17.560439560439562
3,Tuesday,6,2.4745762711864407,17.412429378531073
3,Tuesday,7,3.3920454545454546,16.494318181818183
3,Tuesday,8,1.9602272727272727,17.931818181818183
3,Tuesday,9,4.482954545454546,15.357954545454545
3,Tuesday,10,3.5480225988700567,16.338983050847457
3,Tuesday,11,2.838888888888889,17.07777777777778
3,Tuesday,12,2.6763005780346822,17.271676300578033
3,Tuesday,13,1.7083333333333333,18.223958333333332
3,Tuesday,14,2.751412429378531,17.180790960451976
3,Tuesday,15,3.2413793103448274,16.689655172413794
3,Tuesday,16,3.340909090909091,16.568181818181817
3,Tuesday,17,2.990613323612503,17.007655153558733
3,Tuesday,18,2.4488636363636362,17.482954545454547
3,Tuesday,19,2.2142857142857144,17.714285714285715
3,Tuesday,20,3.745664739884393,16.184971098265898
3,Tuesday,21,4.544642857142857,15.397321428571429
3,Tuesday,22,5.994082840236686,13.923076923076923
3,Tuesday,23,4.8882352941176475,15.01764705882353
3,Wednesday,0,3.963636363636364,15.951515151515151
3,Wednesday,1,3.493827160493827,16.432098765432098
3,Wednesday,2,3.073170731707317,16.853658536585368
3,Wednesday,3,2.4695121951219514,17.451219512195124
3,Wednesday,4,1.764367816091954,18.166666666666668
3,Wednesday,5,1.8650306748466257,18.061349693251532
3,Wednesday,6,2.388535031847134,17.53503184713376
3,Wednesday,7,3.37888198757764,16.559006211180126
3,Wednesday,8,2.5987654320987654,17.376543209876544
3,Wednesday,9,6.663366336633663,13.292079207920793
3,Wednesday,10,6.257668711656442,13.693251533742332
3,Wednesday,11,6.054216867469879,13.879518072289157
3,Wednesday,12,5.343023255813954,14.633720930232558
3,Wednesday,13,4.02072192513369,15.973262032085561
3,Wednesday,14,4.557575757575758,15.381818181818181
